gesture,ax,ay,az,gx,gy,gz
basket,"[63805, 61978, 63079, 64524, 64633, 64586, 64473, 64267, 64156, 64291, 64508, 64982, 65176, 65404, 2, 193, 407, 384, 381, 549, 409, 265, 34, 65153, 64895, 64872, 65104, 65335, 65461, 65520, 65465, 65392, 65419, 65439, 65497, 73, 176, 240, 327, 476, 422, 461, 384, 169, 65518, 65452, 65181, 64989, 65101, 65048, 64773, 64704, 64702, 64846, 64976, 65037, 65085, 65079, 65046, 65038]","[64751, 63957, 1018, 65138, 65308, 65479, 65450, 33, 64, 65480, 114, 57, 110, 65465, 65457, 65398, 65391, 65379, 65385, 65414, 65421, 65434, 65355, 65454, 65376, 65125, 211, 65332, 65452, 65321, 65445, 65467, 65439, 65444, 65458, 65443, 65364, 8, 65488, 65476, 21, 65501, 52, 168, 365, 392, 428, 473, 588, 283, 426, 371, 353, 501, 409, 196, 38, 22, 49, 64]","[64085, 64932, 379, 500, 110, 170, 236, 102, 60, 234, 406, 382, 366, 120, 65486, 65184, 65054, 65046, 64910, 64909, 64898, 64938, 64893, 65117, 65234, 490, 866, 773, 533, 513, 532, 482, 364, 259, 190, 128, 95, 62, 3, 11, 65529, 53, 24, 186, 284, 402, 464, 482, 395, 227, 78, 22, 65494, 65508, 65507, 30, 53, 75, 112, 86]","[57449, 48664, 61072, 64481, 5597, 59529, 3347, 6353, 2200, 3695, 5147, 3441, 1475, 1193, 64786, 64608, 63891, 63294, 63404, 63731, 64011, 64703, 177, 61722, 55400, 57403, 59078, 633, 595, 62976, 221, 426, 1367, 2780, 2045, 1617, 3691, 4693, 4871, 6448, 7193, 7256, 10734, 10254, 6076, 1189, 969, 7277, 5045, 4412, 7467, 8576, 10412, 6684, 64872, 59690, 59455, 62714, 77, 65334]","[25000, 25000, 25000, 62669, 59295, 60386, 53469, 43540, 40536, 40536, 40536, 40536, 40536, 42130, 43462, 46021, 51583, 56310, 59505, 595, 6751, 14664, 25000, 25000, 25000, 24061, 10782, 64342, 63760, 65406, 63769, 61206, 57847, 54972, 53210, 52937, 56384, 57644, 59616, 63912, 620, 4805, 7798, 11599, 9945, 10532, 9965, 4974, 1836, 3243, 3581, 2792, 1824, 1347, 813, 393, 369, 740, 536, 65446]","[41518, 43028, 52826, 3612, 5006, 64091, 5752, 10256, 11709, 11760, 10803, 12778, 12617, 12766, 10881, 9033, 6910, 4372, 1338, 64520, 61112, 60856, 57950, 58712, 58160, 57463, 58887, 1874, 1429, 65187, 854, 2101, 3782, 4718, 4447, 4140, 4258, 2945, 2059, 65068, 62140, 60993, 55910, 51829, 49405, 49319, 50990, 51615, 52932, 51547, 48702, 50415, 54186, 57467, 63755, 2303, 1439, 722, 719, 395]"
basket,"[64297, 61986, 63307, 64388, 64490, 64667, 64503, 64401, 64263, 64414, 64679, 64804, 64952, 65131, 65335, 10, 194, 244, 329, 286, 342, 173, 65488, 65245, 64795, 64636, 64776, 64814, 65188, 65399, 65384, 65332, 65451, 65511, 65505, 65475, 65466, 65445, 12, 17, 178, 250, 342, 470, 449, 611, 362, 65524, 65253, 65019, 64868, 64607, 64645, 64645, 64476, 64512, 64838, 64995, 65071, 65064]","[64912, 63862, 753, 65407, 64759, 65300, 65461, 65380, 65420, 14, 159, 211, 9, 57, 65529, 65487, 65404, 65343, 65323, 65345, 65338, 65408, 65496, 65473, 65428, 65201, 65248, 208, 65373, 65414, 65431, 65492, 65443, 65494, 65494, 65520, 65374, 65444, 14, 7, 65523, 65525, 32, 65470, 65477, 65505, 65426, 76, 70, 244, 148, 556, 514, 245, 246, 559, 473, 213, 65441, 82]","[63808, 64131, 194, 224, 303, 110, 321, 217, 368, 406, 565, 592, 326, 103, 65389, 65211, 64959, 64849, 64771, 64733, 64600, 64628, 64881, 65016, 65052, 65315, 517, 1260, 744, 530, 606, 619, 512, 462, 430, 389, 344, 297, 229, 159, 134, 111, 68, 34, 65519, 65466, 65435, 3, 68, 374, 427, 320, 139, 65521, 65474, 65507, 65444, 65500, 88, 51]","[55678, 50341, 57710, 59578, 2272, 376, 5501, 6846, 8272, 9656, 6366, 2457, 869, 64516, 61777, 62194, 63782, 62831, 64311, 65383, 115, 64921, 63757, 61661, 59553, 49524, 53681, 61988, 5853, 60638, 63551, 979, 462, 65063, 65107, 629, 3270, 4454, 1519, 65195, 827, 2259, 1304, 3160, 6286, 8294, 15601, 14730, 8800, 4379, 7857, 10747, 7473, 8471, 15382, 7792, 64773, 62870, 65073, 3703]","[25000, 25000, 25000, 63000, 55676, 60049, 53920, 45054, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 42809, 47564, 52350, 57506, 61702, 917, 9332, 16343, 24858, 25000, 25000, 25000, 12514, 61959, 63881, 1259, 63850, 60417, 59342, 60599, 59094, 58307, 56889, 56226, 55845, 57234, 59444, 61789, 64808, 2582, 6988, 14393, 14642, 12525, 13485, 10377, 6208, 4279, 3260, 4442, 2657, 64787, 65260, 417, 740]","[45769, 45540, 47602, 1202, 4632, 1915, 2776, 5510, 7320, 9347, 11357, 12369, 12168, 11403, 10486, 8610, 7272, 4431, 1178, 63095, 60776, 56906, 56061, 57972, 58271, 59141, 55420, 64557, 4864, 62928, 64120, 1577, 1196, 435, 1376, 2927, 4645, 4223, 2476, 2014, 2974, 3379, 3352, 2699, 503, 64013, 59459, 53177, 48285, 45316, 48012, 48155, 50034, 52672, 52497, 53659, 60058, 930, 1253, 65131]"
basket,"[64050, 61612, 63089, 64819, 64820, 64767, 64790, 64720, 64702, 64534, 64526, 64498, 64646, 64839, 65139, 65146, 65482, 65431, 158, 291, 460, 431, 513, 454, 217, 65524, 65144, 64761, 64872, 65237, 65371, 65517, 65362, 65366, 65489, 65491, 65465, 65432, 65499, 65427, 65516, 0, 168, 158, 279, 215, 112, 65333, 65101, 64936, 64705, 64435, 64245, 64230, 64573, 64837, 64942, 65085, 65092, 65011]","[64831, 63904, 1378, 64862, 65436, 65391, 65495, 73, 65482, 65391, 65381, 172, 185, 303, 288, 288, 43, 65492, 65405, 65355, 65320, 65225, 65325, 65417, 65401, 65477, 9, 65366, 65526, 85, 65519, 65461, 65507, 65513, 65488, 65515, 5, 5, 65494, 65427, 65482, 65446, 65380, 65454, 116, 121, 12, 216, 426, 140, 537, 516, 442, 477, 705, 457, 275, 122, 140, 169]","[64757, 64806, 1029, 132, 65419, 97, 18, 18, 65518, 41, 96, 296, 442, 607, 546, 556, 204, 65534, 65238, 65025, 64781, 64863, 64967, 65051, 65143, 65092, 65142, 65408, 594, 1025, 480, 369, 654, 572, 443, 453, 448, 375, 275, 211, 150, 105, 95, 88, 45, 65528, 72, 23, 247, 173, 8, 65510, 65374, 65313, 65402, 65379, 1, 65469, 65459, 65458]","[58259, 48645, 52568, 7473, 1680, 61324, 6883, 553, 63225, 2999, 9192, 6366, 2732, 2294, 602, 1360, 64728, 65030, 65347, 100, 92, 63830, 605, 63988, 64546, 1147, 62469, 51279, 56975, 59988, 4763, 59314, 64133, 299, 65177, 64257, 64471, 65022, 81, 2330, 2771, 2072, 5310, 7704, 7891, 5535, 9850, 14495, 9599, 11474, 15409, 11125, 11674, 11152, 7948, 2206, 7313, 3305, 1560, 64449]","[25000, 25000, 25000, 58371, 4570, 5407, 63296, 57744, 51149, 45474, 43222, 43935, 43652, 41349, 44601, 43519, 42408, 41599, 44883, 49787, 56485, 64534, 3577, 8198, 13100, 19276, 25000, 25000, 25000, 4989, 59004, 1215, 2379, 62904, 63464, 64174, 63441, 60901, 58350, 58330, 57291, 58556, 61862, 936, 1658, 3386, 8334, 11927, 13072, 9936, 5649, 8233, 2347, 65187, 2996, 4144, 1396, 64934, 603, 292]","[43800, 40536, 49794, 5098, 64522, 63640, 5186, 3989, 4319, 8587, 11924, 13158, 13344, 13207, 12434, 13883, 13019, 12448, 10664, 7739, 4860, 360, 61714, 59332, 56896, 56157, 54845, 56572, 52305, 63164, 3467, 62594, 64476, 1040, 633, 434, 1350, 2885, 4661, 6099, 5697, 5345, 5652, 3398, 65437, 62441, 60490, 55687, 52058, 50432, 47639, 46272, 48710, 50140, 52302, 60308, 4717, 4401, 65111, 65115]"
bowling,"[63479, 63057, 63752, 63847, 64058, 64388, 64600, 64901, 65070, 65191, 65325, 65414, 65447, 65491, 65507, 65507, 65380, 65241, 64908, 64497, 64030, 63559, 63069, 63076, 63378, 63774, 64201, 64583, 64794, 65106, 65371, 65533, 112, 163, 184, 193, 178, 165, 133, 96, 70, 10, 65482, 65453, 65397, 65272, 65247, 65068, 65029, 64980, 65020, 64944, 64865, 64948, 65047, 65055, 65033, 65027, 65032, 65072]","[65098, 64580, 65444, 65343, 65163, 65375, 65512, 65529, 65490, 65, 120, 43, 187, 189, 145, 202, 173, 48, 62, 65456, 65121, 65338, 65491, 65367, 65439, 65439, 65380, 65516, 65457, 65509, 0, 121, 169, 196, 185, 213, 172, 191, 153, 140, 176, 124, 146, 124, 118, 234, 321, 413, 415, 489, 375, 615, 413, 357, 254, 186, 205, 211, 181, 180]","[65514, 64412, 64420, 65149, 65202, 65204, 65312, 65387, 65498, 51, 50, 36, 12, 65446, 65379, 65378, 65396, 65447, 65399, 65384, 65218, 65155, 65204, 65447, 9, 65464, 65435, 65390, 65454, 65520, 34, 5, 65471, 65463, 65460, 65427, 65414, 65420, 65384, 65378, 65344, 65301, 65267, 65197, 65096, 65032, 65059, 64982, 65018, 65124, 65172, 65365, 65425, 65436, 65433, 65440, 65471, 65465, 65439, 65410]","[11616, 25000, 16000, 5706, 8030, 9608, 4396, 1320, 1995, 2380, 1208, 2641, 3255, 65210, 65514, 63520, 61558, 62676, 62360, 60093, 57683, 62376, 59012, 56948, 63333, 59219, 60319, 62186, 62343, 65285, 64992, 193, 64095, 64435, 65306, 65405, 65269, 342, 65373, 1592, 1339, 1430, 2510, 1053, 1600, 64260, 60648, 54402, 55528, 53969, 59610, 58636, 60969, 64561, 716, 2951, 4160, 2863, 2179, 1964]","[40536, 40536, 40536, 45112, 46026, 50283, 52643, 54361, 57514, 57843, 58430, 60434, 61065, 62384, 64801, 2615, 5660, 8349, 10894, 13839, 17735, 24184, 25000, 25000, 25000, 25000, 21094, 16678, 15107, 11322, 7895, 5851, 3720, 2642, 1653, 60, 64954, 64561, 63251, 62391, 60862, 59559, 58859, 56367, 55262, 54904, 55066, 54370, 55285, 58243, 60345, 64801, 62498, 59437, 62285, 65416, 1145, 433, 64368, 64202]","[56504, 62778, 61220, 64685, 63052, 63665, 64586, 64159, 63959, 63998, 64165, 64880, 64525, 65405, 710, 561, 1365, 2451, 3215, 5557, 4547, 4199, 5447, 6712, 5825, 3556, 3964, 3914, 3856, 3434, 2423, 1035, 269, 78, 261, 65504, 65283, 65092, 64787, 65109, 64441, 64381, 64127, 63540, 62459, 60379, 58999, 55797, 55977, 54619, 55259, 54760, 58436, 61466, 63589, 63032, 62439, 63345, 63934, 64579]"
bowling,"[63705, 62963, 0, 63861, 63976, 64215, 64520, 64810, 65093, 65269, 65369, 65475, 65519, 65483, 65421, 65200, 65038, 64624, 64264, 63880, 63620, 63470, 63543, 63642, 63937, 64288, 64633, 64818, 65142, 65382, 27, 121, 171, 183, 208, 159, 132, 42, 139, 29, 115, 65501, 6, 65421, 65410, 65274, 65222, 65205, 65016, 64969, 64963, 64894, 64886, 64957, 64989, 64996, 65025, 65000, 65035, 65040]","[64976, 64634, 0, 65339, 65468, 65278, 65372, 28, 42, 65509, 34, 132, 69, 110, 169, 80, 65524, 65520, 65374, 65241, 65422, 65429, 65433, 75, 65482, 65364, 24, 10, 65500, 65532, 149, 138, 175, 177, 163, 192, 155, 188, 123, 264, 186, 245, 244, 284, 336, 390, 499, 579, 475, 437, 269, 295, 340, 426, 397, 351, 311, 366, 104, 73]","[65417, 64644, 0, 64837, 65400, 65381, 65314, 65311, 65385, 65455, 65423, 65381, 65385, 65283, 65326, 65401, 65340, 65369, 65534, 65514, 65451, 65403, 65443, 65438, 65395, 65398, 65503, 65441, 30, 65523, 65474, 65466, 65416, 65410, 65376, 65391, 65378, 65383, 65388, 65314, 65312, 65211, 65129, 65080, 65119, 65143, 65159, 65254, 65325, 65388, 65437, 65506, 65500, 65483, 65487, 65521, 17, 57, 65517, 65483]","[12656, 21944, 0, 8818, 1111, 64352, 3563, 1010, 64799, 1097, 1760, 1342, 64613, 65437, 64269, 61925, 65050, 62395, 61129, 61039, 60622, 57810, 60205, 61967, 58304, 61408, 63283, 65447, 64828, 65129, 64250, 63620, 65376, 64229, 64772, 63623, 64238, 64558, 561, 766, 65533, 1611, 62786, 60956, 57866, 57270, 58339, 55007, 56365, 57174, 59753, 1478, 4405, 3496, 1686, 1595, 4754, 3327, 623, 2042]","[41628, 40536, 0, 40536, 48706, 48610, 51603, 54153, 56422, 58632, 59212, 61764, 63557, 761, 4834, 6727, 9877, 14313, 17893, 19197, 21921, 22048, 25000, 25000, 25000, 22052, 17886, 14363, 12714, 9477, 5962, 3988, 1969, 833, 699, 420, 64835, 63800, 62804, 61235, 60342, 58088, 55274, 56347, 57562, 59424, 56971, 61314, 62698, 62939, 64473, 143, 65077, 63946, 64, 1535, 2101, 1982, 168, 64509]","[64435, 7218, 0, 3157, 3398, 1209, 65076, 64845, 65104, 65439, 64260, 232, 64921, 65092, 65480, 827, 1326, 677, 1638, 713, 1390, 3586, 4520, 3653, 3384, 3572, 3136, 4477, 3127, 737, 396, 65355, 9, 65051, 64845, 63972, 64026, 63807, 63787, 63346, 63060, 62902, 62090, 60394, 57438, 56122, 53340, 53493, 53002, 52924, 53498, 55463, 57687, 59260, 61703, 63824, 65332, 2042, 3215, 1789]"
bowling,"[63567, 63036, 63367, 63873, 64068, 64173, 64486, 64486, 64941, 65154, 65317, 65419, 65463, 65390, 65283, 65126, 64912, 64718, 64358, 64061, 63715, 63482, 63387, 63566, 64000, 64403, 64671, 64960, 65263, 65452, 54, 128, 183, 199, 200, 133, 109, 40, 91, 65519, 54, 65479, 65426, 65412, 65308, 65259, 65153, 65036, 65043, 64970, 64917, 64942, 64988, 65008, 65027, 65048, 65049, 65057, 65066, 65045]","[64859, 64846, 64967, 65177, 65286, 65275, 65317, 65317, 65477, 37, 105, 146, 87, 180, 127, 21, 65453, 65448, 65279, 65282, 65315, 65495, 52, 65503, 65424, 65478, 65501, 65430, 65467, 65528, 38, 122, 146, 144, 213, 168, 176, 173, 156, 217, 206, 295, 288, 349, 538, 322, 593, 457, 549, 414, 423, 390, 309, 293, 251, 194, 164, 179, 142, 114]","[65370, 64551, 64540, 64805, 65289, 65343, 65377, 65377, 65382, 65311, 65213, 65190, 65233, 65289, 65344, 65417, 65502, 65363, 65220, 65041, 64855, 64843, 64891, 65004, 65179, 65263, 65341, 65449, 65476, 65508, 65506, 65475, 65444, 65421, 65419, 65400, 65405, 65387, 65369, 65306, 65272, 65230, 65213, 65154, 65147, 65096, 65194, 65197, 65271, 65318, 65343, 65345, 65350, 65385, 65411, 65431, 65440, 65438, 65441, 65448]","[13057, 14021, 14896, 6303, 1538, 2214, 4769, 4769, 4177, 3598, 1150, 64525, 64796, 64577, 60367, 60350, 60437, 61321, 60848, 62523, 63210, 63158, 58221, 55454, 57909, 61151, 61476, 62755, 64307, 64198, 64666, 65020, 64532, 65402, 65009, 64087, 64907, 64713, 64725, 64679, 65395, 890, 63661, 635, 61393, 60982, 62667, 60624, 62110, 62360, 64449, 62855, 63943, 714, 1803, 2227, 3510, 2974, 1490, 1258]","[40536, 40536, 40536, 45962, 52040, 51226, 51502, 51502, 55077, 55589, 58487, 62299, 258, 3666, 6477, 9327, 11622, 11530, 13449, 16933, 21328, 25000, 25000, 25000, 22953, 19152, 15347, 12093, 9026, 7146, 4747, 2255, 1084, 531, 65492, 64329, 63687, 62092, 61239, 59913, 60214, 59099, 58921, 56246, 57331, 56947, 58584, 60031, 59829, 62085, 62128, 62286, 64227, 65531, 405, 933, 846, 418, 439, 243]","[3421, 1633, 1992, 63392, 62752, 62781, 63454, 63454, 64508, 64428, 64358, 65247, 180, 587, 1584, 3035, 4045, 3409, 4888, 4588, 3785, 4107, 3569, 5648, 6809, 6030, 5739, 5092, 3662, 1909, 752, 144, 65147, 64913, 64246, 63666, 63322, 63093, 62542, 60963, 61258, 59967, 58883, 58239, 56448, 55918, 54519, 54138, 54879, 54874, 56595, 57587, 59814, 61553, 63260, 64624, 65070, 65311, 65485, 65323]"
